id,query,title,salary_from,salary_to,currency,employer,url,created_at
1,Аналитик,Помощник депутата Государственной Думы,100000,150000,RUR,Мегаполис-Стиль,https://hh.ru/vacancy/120375359,2025-06-07 16:24:22.431929+00:00
2,Аналитик,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 16:24:22.541111+00:00
3,Аналитик,Руководитель проекта (о.Бали),3500,,USD,Москвина Анастасия Сергеевна,https://hh.ru/vacancy/121280868,2025-06-07 16:24:22.646817+00:00
4,Аналитик,Директор завода/Управляющий,500000,,RUR,Холдинговая компания АлфиГрупп,https://hh.ru/vacancy/121220392,2025-06-07 16:24:22.757110+00:00
5,Аналитик,Начальник отдела кадров,150000,150000,RUR,ЦРП,https://hh.ru/vacancy/121353435,2025-06-07 16:24:22.867880+00:00
6,Аналитик,Специалист по тестированию (junior),80000,100000,RUR,aQsi,https://hh.ru/vacancy/121326622,2025-06-07 16:24:22.976746+00:00
7,Аналитик,Генеральный директор,320000,600000,RUR,GPD Group,https://hh.ru/vacancy/121338126,2025-06-07 16:24:23.086880+00:00
8,Аналитик,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 16:24:23.193659+00:00
9,Аналитик,Коммерческий директор (B2B),400000,600000,RUR,ПРАВИЛЬНЫЕ ЛЮДИ,https://hh.ru/vacancy/121338933,2025-06-07 16:24:23.301806+00:00
10,Аналитик,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 16:24:23.409142+00:00
11,Аналитик программист,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 16:30:50.601050+00:00
12,Аналитик программист,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 16:30:50.703906+00:00
13,Аналитик программист,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 16:30:50.810355+00:00
14,Аналитик программист,Middle+/Senior QA инженер,260000,303000,RUR,Sminex,https://hh.ru/vacancy/121433034,2025-06-07 16:30:50.918038+00:00
15,Аналитик программист,Тестировщик (Middle),,150000,RUR,Неватех,https://hh.ru/vacancy/121325714,2025-06-07 16:30:51.021701+00:00
16,Аналитик программист,Продуктовый QA Инженер (Junior),,110000,RUR,FunFlow (ООО Мобильные Игровые Решения),https://hh.ru/vacancy/121431605,2025-06-07 16:30:51.129908+00:00
17,Аналитик программист,Финансовый контролер/financal controller,7500,8000,BYR,КИАТ,https://hh.ru/vacancy/121179387,2025-06-07 16:30:51.237616+00:00
18,Аналитик программист,QA инженер,100000,,RUR,Вирэнт,https://hh.ru/vacancy/121307125,2025-06-07 16:30:51.344779+00:00
19,Аналитик программист,Тестировщик ПО,,160000,RUR,Кронверк Лаб,https://hh.ru/vacancy/121423366,2025-06-07 16:30:51.449943+00:00
20,Аналитик программист,Backend разработчик python (junior),,150000,RUR,BND LLC,https://hh.ru/vacancy/121211572,2025-06-07 16:30:51.555375+00:00
21,Аналитик,Помощник депутата Государственной Думы,100000,150000,RUR,Мегаполис-Стиль,https://hh.ru/vacancy/120375359,2025-06-07 16:31:05.261041+00:00
22,Аналитик,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 16:31:05.366786+00:00
23,Аналитик,Руководитель проекта (о.Бали),3500,,USD,Москвина Анастасия Сергеевна,https://hh.ru/vacancy/121280868,2025-06-07 16:31:05.470686+00:00
24,Аналитик,Директор завода/Управляющий,500000,,RUR,Холдинговая компания АлфиГрупп,https://hh.ru/vacancy/121220392,2025-06-07 16:31:05.576727+00:00
25,Аналитик,Начальник отдела кадров,150000,150000,RUR,ЦРП,https://hh.ru/vacancy/121353435,2025-06-07 16:31:05.681002+00:00
26,Аналитик,Специалист по тестированию (junior),80000,100000,RUR,aQsi,https://hh.ru/vacancy/121326622,2025-06-07 16:31:05.790017+00:00
27,Аналитик,Генеральный директор,320000,600000,RUR,GPD Group,https://hh.ru/vacancy/121338126,2025-06-07 16:31:05.895873+00:00
28,Аналитик,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 16:31:06.001089+00:00
29,Аналитик,Коммерческий директор (B2B),400000,600000,RUR,ПРАВИЛЬНЫЕ ЛЮДИ,https://hh.ru/vacancy/121338933,2025-06-07 16:31:06.106127+00:00
30,Аналитик,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 16:31:06.215050+00:00
31,Аналитик программист,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 16:31:40.252028+00:00
32,Аналитик программист,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 16:31:40.355959+00:00
33,Аналитик программист,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 16:31:40.463634+00:00
34,Аналитик программист,Middle+/Senior QA инженер,260000,303000,RUR,Sminex,https://hh.ru/vacancy/121433034,2025-06-07 16:31:40.571955+00:00
35,Аналитик программист,Тестировщик (Middle),,150000,RUR,Неватех,https://hh.ru/vacancy/121325714,2025-06-07 16:31:40.680403+00:00
36,Аналитик программист,Продуктовый QA Инженер (Junior),,110000,RUR,FunFlow (ООО Мобильные Игровые Решения),https://hh.ru/vacancy/121431605,2025-06-07 16:31:40.787096+00:00
